,Name,Type,Power [W],Created
0,EG Bügeleisen,Other,2179.0,2015-10-26 01:00:00
1,EG Flur Lampe,Lights,71.0,2015-10-25 02:00:00
2,EG Herd Backofen,Oven,2456.0,2015-10-25 02:00:00
3,EG Herd Platte,Stove,1006.0,2015-10-25 02:00:00
4,EG Kaffeemaschine Rowenta Küche,Coffeemaker,693.0,2015-10-26 01:00:00
5,EG Kaffeemaschine Senseo,Coffeemaker,1463.0,2015-10-26 01:00:00
6,EG Lampe Kinderzimmer Matthias,Lights,77.0,2015-10-27 01:00:00
7,EG Lampe Treppenhaus,Lights,95.0,2015-10-26 01:00:00
8,EG Mikrowelle,Microwave,1496.0,2015-10-25 02:00:00
9,EG Treppenhaus Lampe,Lights,120.0,2015-10-30 01:00:00
10,EG Wasserkocher Küche,Kettle,1625.0,2015-11-03 01:00:00
11,Haustüre Lampe,Lights,60.0,2015-10-26 01:00:00
12,Kellertüre Außenlampe,Lights,61.0,2015-10-28 01:00:00
13,KG Büro Heizstrahler,Lights,1166.0,2015-10-29 01:00:00
14,KG Fitnessraum Lampe,Lights,182.0,2015-10-30 01:00:00
15,KG Flur Lampe,Lights,118.0,2015-10-29 01:00:00
16,KG Heizung,Heater,250.0,2015-10-26 01:00:00
17,KG Pumpe Wasser,Water pump,835.0,2015-10-26 01:00:00
18,OG 41,Other,205.0,2015-10-29 01:00:00
19,OG Waschmaschine,Washing machine,2039.0,2015-10-26 01:00:00
20,OG28,Other,860.0,2015-10-27 01:00:00
21,OG32,Other,100.0,2015-10-27 01:00:00
