hour,Always on [Wh],Consumption [Wh]
0,210.76923076923077,721.8659340659344
1,197.35164835164835,633.6758241758242
2,188.29347826086956,596.3380434782608
3,189.15384615384616,580.624175824176
4,192.67032967032966,633.0219780219778
5,191.9120879120879,773.5769230769234
6,206.30769230769232,973.7131868131869
7,211.36263736263737,1026.6604395604397
8,209.1978021978022,925.9978021978022
9,193.56043956043956,890.1648351648355
10,167.72527472527472,870.5758241758244
11,151.34065934065933,1006.2890109890105
12,148.3186813186813,1096.767032967033
13,140.34065934065933,888.345054945055
14,137.34065934065933,890.0901098901097
15,148.3846153846154,1108.003296703297
16,151.6813186813187,1410.732967032967
17,154.01098901098902,1695.613186813186
18,159.56043956043956,2562.031868131867
19,159.35555555555555,2233.565555555555
20,166.43333333333334,1828.7255555555557
21,239.53333333333333,1295.8255555555556
22,248.8,1066.8466666666661
23,222.07777777777778,866.3900000000002
